resource_type,key,plural_variable,plural_category,comment,english_value,locale,current_value,current_status,reviewed_value,review_status,reviewer,review_date,reviewer_notes
strings,home.error.protocol.save,,,,Couldn't save the protocol. Free up storage and try again.,de,Das Protokoll konnte nicht gespeichert werden. Geben Sie Speicherplatz frei und versuchen Sie es erneut.,draft-translation,,,,,
strings,home.error.run.save,,,,Couldn't save the protocol run. Free up storage and try again.,de,Der Protokolldurchlauf konnte nicht gespeichert werden. Geben Sie Speicherplatz frei und versuchen Sie es erneut.,draft-translation,,,,,
strings,home.error.task.save,,,,Couldn't save the task. Free up storage and try again.,de,Die Aufgabe konnte nicht gespeichert werden. Geben Sie Speicherplatz frei und versuchen Sie es erneut.,draft-translation,,,,,
strings,home.protocol.run.progress.completed,,,,%1$d/%2$d completed,de,%1$d/%2$d abgeschlossen,draft-translation,,,,,
strings,home.protocol.run.progress.summary,,,,%1$d of %2$d,de,%1$d von %2$d,draft-translation,,,,,
strings,home.protocol.schedule.custom,,,,Scheduled for %@,de,Geplant für %@,draft-translation,,,,,
strings,home.protocol.schedule.custom.passed,,,,Window passed - %@,de,Fenster verstrichen - %@,draft-translation,,,,,
strings,home.protocol.schedule.help.anytime,,,,Anytime. Scheduling only labels the protocol template and never ends an active run automatically.,de,Jederzeit. Die Zeitplanung beschriftet nur die Protokollvorlage und beendet niemals automatisch einen aktiven Durchlauf.,draft-translation,,,,,
strings,home.protocol.schedule.help.scheduled,,,,%@. Scheduling only labels the protocol template and never ends an active run automatically.,de,%@. Die Zeitplanung beschriftet nur die Protokollvorlage und beendet niemals automatisch einen aktiven Durchlauf.,draft-translation,,,,,
strings,home.protocol.schedule.thisWeek,,,,Scheduled for this week,de,Diese Woche geplant,draft-translation,,,,,
strings,home.protocol.schedule.thisWeek.passed,,,,This week window passed,de,Diese-Woche-Fenster verstrichen,draft-translation,,,,,
strings,home.protocol.schedule.today,,,,Scheduled for today,de,Heute geplant,draft-translation,,,,,
strings,home.protocol.schedule.today.passed,,,,Today window passed,de,Heute-Fenster verstrichen,draft-translation,,,,,
strings,home.protocol.schedule.weekend,,,,Scheduled for this weekend,de,Dieses Wochenende geplant,draft-translation,,,,,
strings,home.protocol.schedule.weekend.passed,,,,Weekend window passed,de,Wochenend-Fenster verstrichen,draft-translation,,,,,
strings,home.protocol.step.accessibility.complete,,,,Complete %@,de,%@ abschließen,draft-translation,,,,,
strings,home.protocol.step.accessibility.skip,,,,Skip %@,de,%@ überspringen,draft-translation,,,,,
strings,home.protocol.steps.placeholder,,,,Step 1\nStep 2\nStep 3,de,Schritt 1\nSchritt 2\nSchritt 3,draft-translation,,,,,
strings,home.task.accessibility.edit,,,,Edit %@,de,%@ bearbeiten,draft-translation,,,,,
strings,home.task.accessibility.markComplete,,,,Mark %@ complete,de,%@ als erledigt markieren,draft-translation,,,,,
strings,home.task.accessibility.markIncomplete,,,,Mark %@ incomplete,de,%@ als unerledigt markieren,draft-translation,,,,,
strings,home.task.accessibility.restore,,,,Restore %@,de,%@ wiederherstellen,draft-translation,,,,,
strings,home.task.accessibility.skip,,,,Skip %@,de,%@ überspringen,draft-translation,,,,,
strings,notification.prediction.body.default,,,,%@ — still pending.,de,%@ — noch ausstehend.,draft-translation,,,,,
strings,notification.prediction.body.home,,,,%@ — usually done by now.,de,%@ — normalerweise jetzt erledigt.,draft-translation,,,,,
strings,notification.prediction.body.malformed,,,,You have an overdue item.,de,Sie haben ein überfälliges Element.,draft-translation,,,,,
strings,notification.prediction.body.protocol,,,,%@ — protocol run is overdue.,de,%@ — Protokolldurchlauf ist überfällig.,draft-translation,,,,,
strings,notification.prediction.body.train,,,,%@ — your usual training window passed.,de,%@ — Ihr übliches Trainingsfenster ist verstrichen.,draft-translation,,,,,
strings,notification.prediction.title,,,,Reminder,de,Erinnerung,draft-translation,,,,,
strings,notification.prompt.checkIn.body,,,,"Take a quick read on energy, mood, and sleep.",de,"Erfassen Sie schnell Energie, Stimmung und Schlaf.",draft-translation,,,,,
strings,notification.prompt.checkIn.title,,,,Check-in,de,Check-in,english-placeholder,,,,,
strings,notification.prompt.eveningReflection.body,,,,Close the day with one quick reflection.,de,Schließen Sie den Tag mit einer kurzen Reflexion.,draft-translation,,,,,
strings,notification.prompt.eveningReflection.title,,,,Evening reflection,de,Abendreflexion,draft-translation,,,,,
strings,notification.prompt.homeWrappedReflection.body,,,,All home tasks are done. Close the day with one quick reflection.,de,Alle Haushaltsaufgaben sind erledigt. Schließen Sie den Tag mit einer kurzen Reflexion.,draft-translation,,,,,
strings,notification.prompt.homeWrappedReflection.title,,,,Home wrapped,de,Haushalt abgeschlossen,draft-translation,,,,,
strings,notification.protocol.overdue.body,,,,%@ — schedule window ended without a run.,de,%@ — Zeitfenster endete ohne Durchlauf.,draft-translation,,,,,
strings,notification.protocol.overdue.title,,,,Protocol Window Passed,de,Protokollfenster verstrichen,draft-translation,,,,,
strings,notification.protocol.windowOpening.body,,,,%@ — scheduled window starts today.,de,%@ — geplantes Fenster beginnt heute.,draft-translation,,,,,
strings,notification.protocol.windowOpening.title,,,,Protocol Window Opens,de,Protokollfenster öffnet,draft-translation,,,,,
strings,readiness.anchor.fine,,,,Fine,de,In Ordnung,draft-translation,,,,,
strings,readiness.anchor.good,,,,Good,de,Gut,draft-translation,,,,,
strings,readiness.anchor.great,,,,Great,de,Großartig,draft-translation,,,,,
strings,readiness.anchor.high,,,,High,de,Hoch,draft-translation,,,,,
strings,readiness.anchor.low,,,,Low,de,Niedrig,draft-translation,,,,,
strings,readiness.anchor.okay,,,,Okay,de,Okay,english-placeholder,,,,,
strings,readiness.anchor.poor,,,,Poor,de,Schlecht,draft-translation,,,,,
strings,readiness.anchor.rough,,,,Rough,de,Mies,draft-translation,,,,,
strings,readiness.anchor.steady,,,,Steady,de,Stabil,draft-translation,,,,,
strings,readiness.axis.tier.high,,,,%@ high,de,%@ hoch,draft-translation,,,,,
strings,readiness.axis.tier.low,,,,%@ low,de,%@ niedrig,draft-translation,,,,,
strings,readiness.axis.tier.okay,,,,%@ okay,de,%@ okay,english-placeholder,,,,,
strings,readiness.checkin.summary.low,,,,Low reserves today,de,Heute geringe Reserven,draft-translation,,,,,
strings,readiness.checkin.summary.low.compact,,,,Low reserves,de,Geringe Reserven,draft-translation,,,,,
strings,readiness.checkin.summary.mixed,,,,Mixed readiness,de,Gemischte Bereitschaft,draft-translation,,,,,
strings,readiness.checkin.summary.strong,,,,Feeling strong today,de,Heute fühlen Sie sich stark,draft-translation,,,,,
strings,readiness.checkin.summary.strong.compact,,,,Strong today,de,Heute stark,draft-translation,,,,,
strings,readiness.checkin.summary.tap,,,,Tap to check in,de,Zum Einchecken tippen,draft-translation,,,,,
strings,readiness.checkin.summary.tap.compact,,,,Check in now,de,Jetzt einchecken,draft-translation,,,,,
strings,readiness.session.readout,,,,Readiness %d/5,de,Bereitschaft %d/5,draft-translation,,,,,
strings,readiness.summary.tier.high,,,,Readiness high,de,Bereitschaft hoch,draft-translation,,,,,
strings,readiness.summary.tier.low,,,,Readiness low,de,Bereitschaft niedrig,draft-translation,,,,,
strings,readiness.summary.tier.okay,,,,Readiness okay,de,Bereitschaft okay,draft-translation,,,,,
strings,today.continue.accessibility.addToFocus,,,,Opens %@. Swipe to add this work to Focus Three.,de,"Öffnet %@. Wischen, um diese Arbeit zu Fokus Drei hinzuzufügen.",draft-translation,,,,,
strings,today.continue.accessibility.focusStatusActions,,,,Opens %@. Swipe for Focus status actions.,de,Öffnet %@. Wischen für Fokus-Statusaktionen.,draft-translation,,,,,
strings,today.continue.accessibility.openDomain,,,,Opens %@,de,Öffnet %@,draft-translation,,,,,
strings,today.continue.subtitle.active,,,,Active,de,Aktiv,draft-translation,,,,,
strings,today.continue.subtitle.carriedForward,,,,Carried forward,de,Übertragen,draft-translation,,,,,
strings,today.continue.subtitle.dueToday,,,,Due today,de,Heute fällig,draft-translation,,,,,
strings,today.continue.subtitle.focus,,,,Focus,de,Fokus,draft-translation,,,,,
strings,today.continue.subtitle.inProgress,,,,In progress,de,Im Gange,draft-translation,,,,,
strings,today.continue.subtitle.protocolRun,,,,Protocol run,de,Protokollausführung,draft-translation,,,,,
strings,today.domainNudge.focusMissing,,,,%@ hasn't shown up in Focus lately.,de,%@ ist in letzter Zeit nicht im Fokus aufgetaucht.,draft-translation,,,,,
strings,today.error.entry.save,,,,Couldn't save today's entry. Free up storage and try again.,de,Der heutige Eintrag konnte nicht gespeichert werden. Geben Sie Speicherplatz frei und versuchen Sie es erneut.,draft-translation,,,,,
strings,today.error.history.load,,,,"Couldn't load previous days. Close and reopen Owlory, then try again.",de,"Vorherige Tage konnten nicht geladen werden. Schließen Sie Owlory, öffnen Sie es erneut und versuchen Sie es noch einmal.",draft-translation,,,,,
strings,today.focus.suggestion.band.high,,,,high-readiness,de,hoher Bereitschaft,draft-translation,,,,,
strings,today.focus.suggestion.band.low,,,,low-readiness,de,niedriger Bereitschaft,draft-translation,,,,,
strings,today.focus.suggestion.band.steady,,,,steady,de,stetiger,draft-translation,,,,,
strings,today.focus.suggestion.completion.recentCompletions,,,,You completed this %@ recently.,de,Sie haben dies kürzlich %@ abgeschlossen.,draft-translation,,,,,
strings,today.focus.suggestion.completion.similarReadinessHistory,,,,You finished this %1$@ on %2$@ check-in days.,de,Sie haben dies %1$@ an %2$@ Check-in-Tagen abgeschlossen.,draft-translation,,,,,
strings,today.focus.suggestion.countPhrase.once,,,,once,de,einmal,draft-translation,,,,,
strings,today.focus.suggestion.countPhrase.times,,,,%d times,de,%d Mal,draft-translation,,,,,
strings,today.focus.suggestion.dayPhrase.daysAgo,,,,%d days ago,de,vor %d Tagen,draft-translation,,,,,
strings,today.focus.suggestion.dayPhrase.today,,,,today,de,heute,draft-translation,,,,,
strings,today.focus.suggestion.dayPhrase.yesterday,,,,yesterday,de,gestern,draft-translation,,,,,
strings,today.focus.suggestion.timing.lastCompletion,,,,Last done %@.,de,Zuletzt %@.,draft-translation,,,,,
strings,today.focus.suggestion.timing.predictedTime,,,,Usually completed around %@.,de,Normalerweise gegen %@ abgeschlossen.,draft-translation,,,,,
strings,today.header.greeting.dayComplete,,,,Day complete,de,Tag abgeschlossen,draft-translation,,,,,
strings,today.header.greeting.inProgress.compact,,,,In progress,de,Im Gange,draft-translation,,,,,
strings,today.header.greeting.inProgress.regular,,,,Day in progress,de,Tag läuft,draft-translation,,,,,
strings,today.header.greeting.readyWhenYouAre,,,,Ready when you are,de,"Bereit, wenn Sie es sind",draft-translation,,,,,
strings,today.header.greeting.todaysPlan,,,,Today's plan,de,Heutiger Plan,draft-translation,,,,,
strings,today.header.greeting.whatsActiveToday,,,,What's active today?,de,Was ist heute aktiv?,draft-translation,,,,,
strings,today.preview.home.activeProtocol,,,,Active protocol: %@,de,Aktives Protokoll: %@,draft-translation,,,,,
strings,today.preview.home.nextTask,,,,Next task: %@,de,Nächste Aufgabe: %@,draft-translation,,,,,
strings,today.preview.next,,,,Next: %@,de,Als Nächstes: %@,draft-translation,,,,,
strings,today.quickCareer.recordTitle,,,,Record %@,de,%@ erfassen,draft-translation,,,,,
strings,today.readiness.nudge.decentDay,,,,Decent day ahead. Stay focused on your priorities.,de,Ordentlicher Tag voraus. Bleiben Sie auf Ihre Prioritäten fokussiert.,draft-translation,,,,,
strings,today.readiness.nudge.lowEnergy,,,,Low energy today. Favor easy wins over deep work.,de,Heute ist die Energie niedrig. Bevorzugen Sie einfache Erfolge statt Tiefenarbeit.,draft-translation,,,,,
strings,today.readiness.nudge.lowReserves,,,,Low reserves today. Keep the plan light — minimum viable wins.,de,Heute sind die Reserven niedrig. Halten Sie den Plan leicht — kleinste machbare Erfolge.,draft-translation,,,,,
strings,today.readiness.nudge.roughMood,,,,Rough mood today. Be honest about what you can carry.,de,"Die Stimmung ist heute schwierig. Seien Sie ehrlich, was Sie tragen können.",draft-translation,,,,,
strings,today.readiness.nudge.sleepWasRough,,,,Sleep was rough. You may have less focus than you think.,de,"Der Schlaf war schwierig. Sie haben vielleicht weniger Fokus, als Sie denken.",draft-translation,,,,,
strings,today.readiness.nudge.solidDay,,,,Solid day. You have capacity — use it on what matters most.,de,"Solider Tag. Sie haben Kapazität — nutzen Sie sie für das, was am wichtigsten ist.",draft-translation,,,,,
strings,today.readiness.nudge.steadyDay,,,,Steady day. Trust the plan.,de,Stabiler Tag. Vertrauen Sie dem Plan.,draft-translation,,,,,
strings,today.readiness.nudge.strongSignals,,,,Strong signals today. Good day for deep work or hard problems.,de,Heute sind die Signale stark. Ein guter Tag für Tiefenarbeit oder schwierige Probleme.,draft-translation,,,,,
strings,today.readiness.nudge.toughSignals,,,,Tough signals today. Focus on one thing that matters and let the rest go.,de,"Heute sind die Signale schwierig. Konzentrieren Sie sich auf eine Sache, die zählt, und lassen Sie den Rest los.",draft-translation,,,,,
strings,train.calibration.consistencySummary.low,,,,"Training follow-through at %d%%. Consider fewer, more committed sessions.",de,"Trainings-Dranbleiben bei %d%%. Erwäge weniger, dafür verbindlichere Sitzungen.",draft-translation,,,,,
strings,train.calibration.consistencySummary.solid,,,,Solid rhythm — %d%% follow-through this period.,de,Solider Rhythmus — %d%% Durchziehen in diesem Zeitraum.,draft-translation,,,,,
strings,train.calibration.consistencySummary.strong,,,,Strong consistency — %d%% of sessions completed or adapted.,de,Starke Konstanz — %d%% der Sitzungen abgeschlossen oder angepasst.,draft-translation,,,,,
strings,train.error.session.save,,,,Couldn't save the session. Free up storage and try again.,de,Die Sitzung konnte nicht gespeichert werden. Geben Sie Speicherplatz frei und versuchen Sie es erneut.,draft-translation,,,,,
strings,voice.capture.accessibility.error,,,,Recording failed. Double-tap to try again.,de,"Aufnahme fehlgeschlagen. Doppeltippen Sie, um es erneut zu versuchen.",draft-translation,,,,,
strings,voice.capture.accessibility.finished,,,,Voice capture complete,de,Sprachaufnahme abgeschlossen,draft-translation,,,,,
strings,voice.capture.accessibility.start,,,,Start voice capture,de,Sprachaufnahme starten,draft-translation,,,,,
strings,voice.capture.accessibility.stop,,,,Stop recording,de,Aufnahme stoppen,draft-translation,,,,,
strings,voice.capture.accessibility.transcribing,,,,Transcribing,de,Wird transkribiert,draft-translation,,,,,
strings,voicecontrol.label.addToFocus,,,,Add to Focus,de,Zum Fokus hinzufügen,draft-translation,,,,,
strings,voicecontrol.label.complete,,,,Complete,de,Erledigen,draft-translation,,,,,
strings,voicecontrol.label.edit,,,,Edit,de,Bearbeiten,draft-translation,,,,,
strings,voicecontrol.label.skip,,,,Skip,de,Überspringen,draft-translation,,,,,
strings,voicecontrol.label.startRecording,,,,Start recording,de,Aufnahme starten,draft-translation,,,,,
strings,weeklyDigest.averageReadiness.value,,,,%@ / 5,de,%@ / 5,english-placeholder,,,,,
strings,weeklyDigest.completion.percent,,,,%d%%,de,%d %%,draft-translation,,,,,
strings,weeklyDigest.completion.ratio,,,,%d/%d,de,%d/%d,english-placeholder,,,,,
strings,weeklyDigest.completion.value,,,,%d of %d (%d%%),de,%d von %d (%d %%),draft-translation,,,,,
strings,weeklyDigest.daysActive.value,,,,%d of %d,de,%d von %d,draft-translation,,,,,
strings,weeklyDigest.highlight.bestDay.summary,,,,%@: %d of %d completed,de,%@: %d von %d abgeschlossen,draft-translation,,,,,
strings,weeklyDigest.highlight.hardestDay.summary.low,,,,%@: low readiness,de,%@: niedrige Bereitschaft,draft-translation,,,,,
strings,weeklyDigest.highlight.hardestDay.summary.moderate,,,,%@: moderate readiness,de,%@: mäßige Bereitschaft,draft-translation,,,,,
strings,weeklyDigest.insight.finishedMost,,,,You finished most of what you planned.,de,"Sie haben das meiste geschafft, was Sie geplant hatten.",draft-translation,,,,,
strings,weeklyDigest.insight.lightWeek,,,,Light week. Showing up is the first step.,de,Leichte Woche. Auftauchen ist der erste Schritt.,draft-translation,,,,,
strings,weeklyDigest.insight.lowCompletion,,,,Completion was under 50%. Fewer priorities might mean more follow-through.,de,Der Abschluss lag unter 50 %. Weniger Prioritäten könnten mehr Umsetzung bedeuten.,draft-translation,,,,,
strings,weeklyDigest.insight.severalDeferred,,,,Several items deferred. The plan may have been bigger than the week.,de,Mehrere Elemente aufgeschoben. Der Plan war möglicherweise größer als die Woche.,draft-translation,,,,,
strings,weeklyDigest.insight.stalledCarryOver,,,,"Some items carried over repeatedly. Worth deciding: commit, defer, or drop?",de,"Einige Elemente wurden wiederholt übertragen. Es lohnt sich zu entscheiden: zusagen, aufschieben oder verwerfen?",draft-translation,,,,,
strings,weeklyDigest.insight.steady,,,,Steady week. Keep building the rhythm.,de,Stetige Woche. Bauen Sie den Rhythmus weiter auf.,draft-translation,,,,,
strings,weeklyDigest.insight.strongWeek,,,,Strong week. High readiness translated into follow-through.,de,Starke Woche. Hohe Bereitschaft führte zur Umsetzung.,draft-translation,,,,,
strings,weeklyDigest.insight.toughWeek,,,,Tough week with low reserves. Consider planning lighter next time.,de,Harte Woche mit geringen Reserven. Erwägen Sie nächstes Mal eine leichtere Planung.,draft-translation,,,,,
strings,weeklyDigest.relative.lastWeek,,,,Last Week,de,Letzte Woche,draft-translation,,,,,
strings,weeklyDigest.relative.mostRecentWeek,,,,Most Recent Week,de,Aktuellste Woche,draft-translation,,,,,
strings,weeklyDigest.summary.doneOfPlanned,,,,%d of %d done,de,%d von %d erledigt,draft-translation,,,,,
strings,weeklyDigest.summary.empty,,,,No planned Focus items,de,Keine geplanten Fokus-Elemente,draft-translation,,,,,
strings,write.calibration.pipelineNudge.captureBacklog,,,,You have %d captures waiting. Try developing one into a source note.,de,Du hast %d Erfassungen in der Warteschlange. Entwickle eine davon zu einer Quellnotiz weiter.,draft-translation,,,,,
strings,write.error.note.save,,,,Couldn't save the note. Free up storage and try again.,de,Die Notiz konnte nicht gespeichert werden. Geben Sie Speicherplatz frei und versuchen Sie es erneut.,draft-translation,,,,,
strings,write.error.note.sourceConversion.invalidStage,,,,"Move the note to Capture, Permanent Note, or Archived first, then try again.",de,"Verschieben Sie die Notiz zuerst zu „Erfassung“, „Dauerhafte Notiz“ oder „Archiviert“ und versuchen Sie es erneut.",draft-translation,,,,,
strings,write.row.accessibility.advanceHint,,,,"Opens note details. Swipe for actions, including advance to %@.",de,"Öffnet Notizdetails. Wischen für Aktionen, einschließlich Vorrücken auf %@.",draft-translation,,,,,
strings,write.row.accessibility.defaultHint,,,,Opens note details. Swipe for actions.,de,Öffnet Notizdetails. Wischen für Aktionen.,draft-translation,,,,,
strings,write.stage.advanceTo,,,,Advance to %@,de,Vorrücken auf %@,draft-translation,,,,,
stringsdict,recurrence.interval.compact,days,one,,Every %dd,de,Alle %dT,draft-translation,,,,,
stringsdict,recurrence.interval.compact,days,other,,Every %dd,de,Alle %dT,draft-translation,,,,,
stringsdict,recurrence.interval.days,days,one,,Every %d day,de,Alle %d Tage,draft-translation,,,,,
stringsdict,recurrence.interval.days,days,other,,Every %d days,de,Alle %d Tage,draft-translation,,,,,
stringsdict,today.dashboard.career.records,records,one,,%d record,de,%d Eintrag,draft-translation,,,,,
stringsdict,today.dashboard.career.records,records,other,,%d records,de,%d Einträge,draft-translation,,,,,
stringsdict,today.dashboard.home.summary,done,one,,%d done,de,%d erledigt,draft-translation,,,,,
stringsdict,today.dashboard.home.summary,done,other,,%d done,de,%d erledigt,draft-translation,,,,,
stringsdict,today.dashboard.home.summary,runs,one,,%d run,de,%d Durchlauf,draft-translation,,,,,
stringsdict,today.dashboard.home.summary,runs,other,,%d runs,de,%d Durchläufe,draft-translation,,,,,
stringsdict,today.dashboard.home.summary,tasks,one,,%d task,de,%d Aufgabe,draft-translation,,,,,
stringsdict,today.dashboard.home.summary,tasks,other,,%d tasks,de,%d Aufgaben,draft-translation,,,,,
stringsdict,today.dashboard.home.summary.withSkipped,done,one,,%d done,de,%d erledigt,draft-translation,,,,,
stringsdict,today.dashboard.home.summary.withSkipped,done,other,,%d done,de,%d erledigt,draft-translation,,,,,
stringsdict,today.dashboard.home.summary.withSkipped,runs,one,,%d run,de,%d Durchlauf,draft-translation,,,,,
stringsdict,today.dashboard.home.summary.withSkipped,runs,other,,%d runs,de,%d Durchläufe,draft-translation,,,,,
stringsdict,today.dashboard.home.summary.withSkipped,skipped,one,,%d skipped,de,%d übersprungen,draft-translation,,,,,
stringsdict,today.dashboard.home.summary.withSkipped,skipped,other,,%d skipped,de,%d übersprungen,draft-translation,,,,,
stringsdict,today.dashboard.home.summary.withSkipped,tasks,one,,%d task,de,%d Aufgabe,draft-translation,,,,,
stringsdict,today.dashboard.home.summary.withSkipped,tasks,other,,%d tasks,de,%d Aufgaben,draft-translation,,,,,
stringsdict,today.dashboard.train.summary,completed,one,,%d completed,de,%d abgeschlossen,draft-translation,,,,,
stringsdict,today.dashboard.train.summary,completed,other,,%d completed,de,%d abgeschlossen,draft-translation,,,,,
stringsdict,today.dashboard.train.summary,planned,one,,%d planned,de,%d geplant,draft-translation,,,,,
stringsdict,today.dashboard.train.summary,planned,other,,%d planned,de,%d geplant,draft-translation,,,,,
stringsdict,today.dashboard.write.summary,captures,one,,%d capture,de,%d Erfassung,draft-translation,,,,,
stringsdict,today.dashboard.write.summary,captures,other,,%d captures,de,%d Erfassungen,draft-translation,,,,,
stringsdict,today.dashboard.write.summary,drafts,one,,%d draft,de,%d Entwurf,draft-translation,,,,,
stringsdict,today.dashboard.write.summary,drafts,other,,%d drafts,de,%d Entwürfe,draft-translation,,,,,
stringsdict,today.dashboard.write.summary,sources,one,,%d source,de,%d Quelle,draft-translation,,,,,
stringsdict,today.dashboard.write.summary,sources,other,,%d sources,de,%d Quellen,draft-translation,,,,,
stringsdict,today.readiness.scale.accessibility,level,one,,%d of 5,de,%d von 5,draft-translation,,,,,
stringsdict,today.readiness.scale.accessibility,level,other,,%d of 5,de,%d von 5,draft-translation,,,,,
stringsdict,today.readiness.scale.accessibility.selected,level,one,,%d of 5,de,%d von 5,draft-translation,,,,,
stringsdict,today.readiness.scale.accessibility.selected,level,other,,%d of 5,de,%d von 5,draft-translation,,,,,
stringsdict,weeklyDigest.domainActivity.items,items,one,,%d item,de,%d Element,draft-translation,,,,,
stringsdict,weeklyDigest.domainActivity.items,items,other,,%d items,de,%d Elemente,draft-translation,,,,,
stringsdict,weeklyDigest.row.daysActive,days,one,,%d/7 days,de,%d/7 Tage,draft-translation,,,,,
stringsdict,weeklyDigest.row.daysActive,days,other,,%d/7 days,de,%d/7 Tage,draft-translation,,,,,
stringsdict,weeklyDigest.streak.compact,days,one,,%dd,de,%dT,draft-translation,,,,,
stringsdict,weeklyDigest.streak.compact,days,other,,%dd,de,%dT,draft-translation,,,,,
stringsdict,weeklyDigest.streak.days,days,one,,%d day,de,%d Tag,draft-translation,,,,,
stringsdict,weeklyDigest.streak.days,days,other,,%d days,de,%d Tage,draft-translation,,,,,
